[2019-10-17 07:29:10] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:29:15] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:29:20] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 07:29:29] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:29:31] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:29:38] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 07:29:38] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:29:40] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:29:45] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 07:34:20] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:34:23] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:34:29] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 07:34:29] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:34:32] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:34:36] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 07:47:40] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:47:41] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:47:48] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 07:47:48] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:47:50] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:47:55] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 07:53:25] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:53:26] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:53:31] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted  rows [] []
[2019-10-17 07:53:31] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 07:53:33] db_update.INFO: Cities were successfully updated, affected 3530 rows, deleted 0 rows [] []
[2019-10-17 07:53:38] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-17 10:57:52] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-10-17 10:57:56] db_update.INFO: Cities were successfully updated, affected 3543 rows, deleted 0 rows [] []
[2019-10-17 10:58:03] db_update.INFO: Warehouses were successfully updated, affected 5559 rows, deleted 0 rows [] []
[2019-10-18 12:19:29] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-10-18 12:19:29] db_update.INFO: Areas were successfully updated, affected 0 rows, deleted 0 rows [] []
[2019-10-18 12:19:34] db_update.INFO: Cities were successfully updated, affected 5909 rows, deleted 0 rows [] []
[2019-10-18 12:19:34] db_update.INFO: Cities were successfully updated, affected 1198 rows, deleted 0 rows [] []
[2019-10-18 12:19:38] db_update.INFO: Warehouses were successfully updated, affected 11136 rows, deleted 1 rows [] []
[2019-10-18 12:19:40] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2019-10-18 12:56:33] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
